EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyIncome2,SalarySlab,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM1063,44,36-45,No,Travel_Frequently,Research & Development,1,Medical,2,Male,3,Manufacturing Director,3,Single," 10,209","? 10,209",10k-15k,5,Yes,18,3,16,2,2,2,2,2,2
RM1079,44,36-45,No,Travel_Rarely,Research & Development,3,Life Sciences,4,Male,3,Research Director,1,Married," 16,328","? 16,328",15k+,3,No,13,3,24,1,4,20,6,14,17
RM1141,44,36-45,No,Travel_Rarely,Research & Development,3,Medical,2,Female,3,Research Director,4,Divorced," 19,049","? 19,049",15k+,0,Yes,14,3,23,4,2,22,7,1,10
RM1166,44,36-45,No,Travel_Frequently,Human Resources,5,Human Resources,1,Male,3,Human Resources,4,Married," 5,743","? 5,743",5k-10k,4,Yes,11,3,14,3,3,10,7,0,2
RM1201,44,36-45,No,Travel_Rarely,Human Resources,3,Life Sciences,3,Female,3,Human Resources,4,Divorced," 3,195","? 3,195",Upto 5k,4,Yes,18,3,8,2,3,2,2,2,2
RM1215,44,36-45,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Female,4,Healthcare Representative,4,Married," 7,879","? 7,879",5k-10k,1,Yes,19,3,9,2,3,8,7,6,7
RM1353,44,36-45,No,Travel_Rarely,Research & Development,4,Life Sciences,2,Male,4,Healthcare Representative,1,Married," 5,033","? 5,033",5k-10k,2,No,15,3,10,5,3,2,0,2,2
RM1436,44,36-45,No,Travel_Rarely,Research & Development,3,Medical,2,Male,3,Research Scientist,4,Single," 2,436","? 2,436",Upto 5k,6,Yes,12,3,6,2,3,4,3,1,2
RM494,44,36-45,No,Travel_Rarely,Human Resources,4,Life Sciences,1,Female,2,Human Resources,3,Single," 5,985","? 5,985",5k-10k,4,No,11,3,10,1,4,2,2,0,2
RM498,44,36-45,No,Travel_Rarely,Research & Development,4,Other,4,Male,3,Manager,4,Married," 19,513","? 19,513",15k+,4,Yes,12,3,26,2,4,2,2,0,1
RM544,44,36-45,No,Non-Travel,Research & Development,3,Medical,1,Male,1,Laboratory Technician,3,Single," 3,708","? 3,708",Upto 5k,2,No,14,3,9,5,3,5,2,1,4
RM618,44,36-45,No,Travel_Rarely,Research & Development,3,Medical,4,Male,3,Healthcare Representative,2,Single," 5,933","? 5,933",5k-10k,9,No,12,3,10,2,2,5,2,2,3
RM632,44,36-45,No,Travel_Rarely,Research & Development,4,Life Sciences,1,Male,4,Laboratory Technician,4,Married," 2,818","? 2,818",Upto 5k,2,Yes,24,4,10,2,2,3,2,0,2
RM659,44,36-45,No,Travel_Rarely,Research & Development,2,Life Sciences,2,Male,3,Research Scientist,1,Married," 2,559","? 2,559",Upto 5k,1,Yes,13,3,8,0,3,8,7,7,1
RM751,44,36-45,No,Travel_Rarely,Sales,3,Medical,4,Female,4,Sales Executive,4,Married," 13,320","? 13,320",10k-15k,3,Yes,18,3,23,2,3,12,11,11,11
RM863,44,36-45,No,Non-Travel,Research & Development,3,Life Sciences,4,Male,1,Research Scientist,3,Single," 2,290","? 2,290",Upto 5k,2,No,13,3,6,3,3,0,0,0,0
RM876,44,36-45,No,Travel_Rarely,Research & Development,4,Other,4,Male,3,Research Scientist,4,Single," 4,541","? 4,541",Upto 5k,1,No,25,4,20,3,3,20,11,13,17
RM892,44,36-45,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Female,4,Research Scientist,4,Married," 2,011","? 2,011",Upto 5k,1,No,13,3,10,5,3,10,5,7,7
RM908,44,36-45,No,Travel_Rarely,Sales,3,Marketing,2,Male,3,Manager,2,Married," 18,213","? 18,213",15k+,7,No,11,3,26,5,3,22,9,3,10
RM923,44,36-45,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,4,Manager,1,Divorced," 19,190","? 19,190",15k+,1,No,14,3,26,4,2,25,9,14,13
RM1280,44,36-45,Yes,Travel_Frequently,Research & Development,2,Medical,3,Male,3,Research Scientist,2,Divorced," 2,342","? 2,342",Upto 5k,1,Yes,12,3,6,2,2,5,3,2,3
RM287,44,36-45,Yes,Travel_Frequently,Research & Development,3,Life Sciences,4,Male,3,Laboratory Technician,3,Divorced," 3,161","? 3,161",Upto 5k,3,Yes,22,4,19,0,1,1,0,0,0
RM790,44,36-45,Yes,Travel_Rarely,Human Resources,2,Medical,2,Male,2,Human Resources,1,Married," 10,482","? 10,482",10k-15k,9,No,14,3,24,1,3,20,6,3,6
RM858,44,36-45,Yes,Travel_Rarely,Research & Development,4,Life Sciences,3,Male,3,Research Scientist,3,Single," 2,936","? 2,936",Upto 5k,1,Yes,11,3,6,4,3,6,4,0,2
RM929,44,36-45,Yes,Travel_Rarely,Research & Development,3,Medical,1,Female,3,Healthcare Representative,4,Married," 7,978","? 7,978",5k-10k,1,No,11,3,10,2,3,10,7,0,5
RM954,44,36-45,Yes,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,3,Laboratory Technician,1,Married," 2,362","? 2,362",Upto 5k,4,No,12,3,10,4,4,3,2,1,2
RM036,43,36-45,No,Travel_Rarely,Research & Development,2,Medical,4,Female,4,Research Scientist,3,Divorced," 2,645","? 2,645",Upto 5k,1,No,12,3,6,3,2,5,3,1,4
RM1134,43,36-45,No,Travel_Rarely,Research & Development,3,Technical Degree,4,Male,4,Laboratory Technician,2,Divorced," 4,876","? 4,876",Upto 5k,5,No,12,3,8,0,3,6,4,0,2
RM1186,43,36-45,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,2,Research Director,3,Married," 17,603","? 17,603",15k+,1,No,24,4,14,3,3,14,10,6,11
RM120,43,36-45,No,Travel_Frequently,Sales,2,Life Sciences,3,Male,3,Manager,4,Married," 16,959","? 16,959",15k+,1,Yes,12,3,25,3,4,25,12,4,12
RM1217,43,36-45,No,Travel_Rarely,Sales,3,Medical,4,Male,3,Sales Executive,4,Married," 7,847","? 7,847",5k-10k,1,Yes,17,3,10,3,3,10,9,8,8
RM1270,43,36-45,No,Travel_Rarely,Human Resources,3,Life Sciences,2,Male,3,Human Resources,4,Single," 3,539","? 3,539",Upto 5k,0,No,13,3,10,5,3,9,7,1,8
RM1294,43,36-45,No,Non-Travel,Research & Development,3,Life Sciences,1,Male,3,Research Scientist,3,Single," 2,438","? 2,438",Upto 5k,4,No,13,3,7,2,2,3,2,1,2
RM131,43,36-45,No,Travel_Frequently,Research & Development,3,Medical,2,Female,4,Research Scientist,3,Single," 4,739","? 4,739",Upto 5k,4,No,12,3,18,2,3,3,2,1,2
RM1317,43,36-45,No,Travel_Frequently,Sales,4,Life Sciences,1,Male,3,Sales Executive,4,Married," 5,675","? 5,675",5k-10k,1,No,20,4,7,5,3,7,7,7,7
RM1331,43,36-45,No,Travel_Rarely,Research & Development,3,Medical,1,Female,2,Manager,3,Married," 19,392","? 19,392",15k+,7,No,13,3,21,2,3,16,12,6,14
RM1400,43,36-45,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,3,Healthcare Representative,3,Married," 7,510","? 7,510",5k-10k,1,No,17,3,10,1,3,10,9,0,9
RM194,43,36-45,No,Non-Travel,Research & Development,3,Medical,4,Male,4,Research Scientist,4,Divorced," 2,089","? 2,089",Upto 5k,4,No,14,3,7,3,4,5,4,2,2
RM236,43,36-45,No,Travel_Rarely,Sales,3,Marketing,4,Female,3,Manager,4,Married," 16,064","? 16,064",15k+,5,Yes,22,4,22,3,3,17,13,1,9
RM316,43,36-45,No,Travel_Frequently,Research & Development,4,Life Sciences,3,Female,3,Laboratory Technician,4,Single," 2,455","? 2,455",Upto 5k,0,No,19,3,9,5,3,8,7,1,7
RM331,43,36-45,No,Travel_Frequently,Research & Development,4,Life Sciences,3,Female,2,Laboratory Technician,3,Divorced," 5,257","? 5,257",5k-10k,1,No,11,3,9,3,4,9,7,0,0
RM334,43,36-45,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Female,3,Healthcare Representative,1,Married," 9,985","? 9,985",5k-10k,8,No,16,3,10,1,2,1,0,0,0
RM391,43,36-45,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,2,Research Director,2,Divorced," 14,336","? 14,336",10k-15k,1,No,11,3,25,3,3,25,10,3,9
RM396,43,36-45,No,Travel_Frequently,Research & Development,3,Medical,4,Male,3,Laboratory Technician,4,Married," 2,258","? 2,258",Upto 5k,7,No,20,4,8,1,3,3,2,1,2
RM397,43,36-45,No,Travel_Rarely,Research & Development,4,Other,3,Female,3,Healthcare Representative,3,Divorced," 4,522","? 4,522",Upto 5k,4,Yes,14,3,8,3,3,5,2,0,2
RM490,43,36-45,No,Travel_Rarely,Research & Development,4,Other,2,Male,2,Research Director,4,Divorced," 16,627","? 16,627",15k+,4,Yes,14,3,21,3,2,1,0,0,0
RM492,43,36-45,No,Travel_Frequently,Research & Development,5,Medical,4,Male,3,Laboratory Technician,3,Divorced," 5,679","? 5,679",5k-10k,3,Yes,13,3,10,3,3,8,7,4,7
RM549,43,36-45,No,Travel_Frequently,Sales,3,Life Sciences,4,Male,2,Sales Executive,4,Married," 6,804","? 6,804",5k-10k,3,No,18,3,7,5,3,2,2,2,2
RM610,43,36-45,No,Travel_Rarely,Research & Development,2,Life Sciences,2,Male,3,Research Director,1,Married," 17,159","? 17,159",15k+,6,No,24,4,22,3,3,4,1,1,0
RM651,43,36-45,No,Travel_Frequently,Research & Development,3,Life Sciences,4,Female,3,Healthcare Representative,4,Married," 5,562","? 5,562",5k-10k,4,No,13,3,12,2,2,5,2,2,2
RM662,43,36-45,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Female,3,Manufacturing Director,2,Divorced," 4,765","? 4,765",Upto 5k,4,No,21,4,4,2,4,1,0,0,0
RM776,43,36-45,No,Travel_Rarely,Sales,3,Medical,3,Male,2,Sales Executive,4,Divorced," 10,798","? 10,798",10k-15k,5,No,13,3,18,5,3,1,0,0,0
RM813,43,36-45,No,Travel_Frequently,Research & Development,3,Life Sciences,3,Female,3,Manufacturing Director,1,Married," 10,820","? 10,820",10k-15k,8,No,11,3,18,1,3,8,7,0,1
RM899,43,36-45,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,1,Research Director,4,Married," 19,740","? 19,740",15k+,3,No,14,3,25,2,3,8,7,0,7
RM927,43,36-45,No,Travel_Rarely,Sales,4,Marketing,4,Female,2,Sales Executive,4,Single," 10,231","? 10,231",10k-15k,3,No,14,3,23,3,4,21,7,15,17
RM996,43,36-45,No,Travel_Rarely,Research & Development,3,Medical,1,Female,2,Research Scientist,3,Single," 4,081","? 4,081",Upto 5k,1,Yes,14,3,20,3,1,20,7,1,8
RM1263,43,36-45,Yes,Travel_Frequently,Research & Development,3,Technical Degree,3,Male,2,Research Scientist,3,Married," 2,437","? 2,437",Upto 5k,9,Yes,16,3,6,4,3,1,0,0,0
RM850,43,36-45,Yes,Travel_Rarely,Sales,3,Marketing,1,Female,1,Sales Executive,3,Single," 5,346","? 5,346",5k-10k,8,No,13,3,7,2,2,4,3,1,3
RM028,42,36-45,No,Travel_Rarely,Sales,4,Marketing,3,Male,3,Sales Executive,2,Married," 6,825","? 6,825",5k-10k,0,No,11,3,10,2,3,9,7,4,
RM1000,42,36-45,No,Travel_Rarely,Human Resources,3,Human Resources,3,Female,3,Manager,1,Married," 16,799","? 16,799",15k+,0,No,14,3,21,5,3,20,7,0,9
RM1051,42,36-45,No,Travel_Frequently,Research & Development,2,Medical,1,Female,3,Laboratory Technician,4,Single," 3,673","? 3,673",Upto 5k,1,No,13,3,12,3,3,12,9,5,8
RM1089,42,36-45,No,Travel_Rarely,Research & Development,3,Medical,3,Male,2,Laboratory Technician,2,Married," 4,841","? 4,841",Upto 5k,4,No,14,3,4,3,3,1,0,0,0
RM1094,42,36-45,No,Travel_Frequently,Research & Development,3,Life Sciences,4,Male,3,Healthcare Representative,4,Married," 10,124","? 10,124",10k-15k,2,Yes,14,3,24,3,1,20,8,13,9
RM1130,42,36-45,No,Travel_Rarely,Research & Development,2,Other,4,Male,2,Manager,4,Single," 19,613","? 19,613",15k+,8,No,22,4,24,2,3,1,0,0,1
RM1264,42,36-45,No,Travel_Rarely,Research & Development,3,Medical,2,Male,3,Laboratory Technician,2,Divorced," 2,766","? 2,766",Upto 5k,8,No,22,4,7,6,2,5,3,0,4
RM1288,42,36-45,No,Travel_Rarely,Research & Development,3,Medical,2,Male,4,Healthcare Representative,1,Married," 5,538","? 5,538",5k-10k,5,No,18,3,10,2,2,0,0,0,0
RM1321,42,36-45,No,Non-Travel,Research & Development,4,Technical Degree,3,Male,3,Research Scientist,3,Married," 2,936","? 2,936",Upto 5k,3,No,22,4,10,1,2,6,3,3,3
RM1326,42,36-45,No,Travel_Rarely,Research & Development,3,Life Sciences,4,Male,3,Laboratory Technician,3,Single," 3,968","? 3,968",Upto 5k,4,No,13,3,8,3,3,0,0,0,0
RM1358,42,36-45,No,Travel_Rarely,Research & Development,3,Medical,3,Male,3,Research Director,1,Married," 13,348","? 13,348",10k-15k,9,No,13,3,18,3,4,13,7,5,7
RM1379,42,36-45,No,Travel_Rarely,Sales,4,Marketing,2,Male,3,Sales Executive,4,Divorced," 5,087","? 5,087",5k-10k,3,Yes,12,3,14,4,3,0,0,0,0
RM1405,42,36-45,No,Non-Travel,Research & Development,2,Life Sciences,4,Male,2,Research Scientist,3,Single," 4,332","? 4,332",Upto 5k,1,No,12,3,20,2,3,20,9,3,7
RM1420,42,36-45,No,Travel_Rarely,Research & Development,4,Life Sciences,4,Male,3,Research Scientist,1,Divorced," 5,410","? 5,410",5k-10k,6,Yes,17,3,9,3,2,4,3,1,2
RM1444,42,36-45,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,3,Manager,3,Married," 18,880","? 18,880",15k+,5,No,11,3,24,2,2,22,6,4,14
RM198,42,36-45,No,Non-Travel,Research & Development,2,Medical,3,Female,3,Manufacturing Director,3,Divorced," 5,265","? 5,265",5k-10k,2,No,16,3,11,5,3,5,3,0,2
RM232,42,36-45,No,Travel_Rarely,Research & Development,2,Technical Degree,3,Male,3,Manager,4,Married," 19,232","? 19,232",15k+,1,No,11,3,22,3,3,22,17,11,15
RM254,42,36-45,No,Travel_Rarely,Research & Development,2,Life Sciences,4,Female,4,Research Scientist,1,Single," 6,545","? 6,545",5k-10k,3,Yes,13,3,10,1,3,3,2,0,
RM257,42,36-45,No,Travel_Rarely,Research & Development,3,Medical,4,Female,2,Laboratory Technician,1,Divorced," 2,593","? 2,593",Upto 5k,0,Yes,11,3,10,4,3,9,6,7,
RM282,42,36-45,No,Travel_Rarely,Sales,1,Life Sciences,2,Male,3,Sales Executive,3,Married," 4,907","? 4,907",Upto 5k,1,No,25,4,20,3,3,20,16,11,6
RM296,42,36-45,No,Travel_Frequently,Sales,3,Marketing,3,Female,3,Sales Executive,2,Married," 13,525","? 13,525",10k-15k,5,No,14,3,23,2,4,20,4,4,8
RM349,42,36-45,No,Travel_Rarely,Research & Development,5,Life Sciences,1,Female,3,Research Director,4,Single," 15,992","? 15,992",15k+,2,No,14,3,16,2,3,1,0,0,0
RM351,42,36-45,No,Travel_Rarely,Human Resources,1,Technical Degree,3,Male,3,Human Resources,3,Divorced," 2,696","? 2,696",Upto 5k,0,Yes,11,3,4,5,3,3,2,1,0
RM357,42,36-45,No,Travel_Rarely,Research & Development,4,Other,1,Male,2,Healthcare Representative,4,Single," 6,781","? 6,781",5k-10k,3,No,23,4,14,6,3,1,0,0,0
RM389,42,36-45,No,Travel_Rarely,Research & Development,4,Life Sciences,2,Female,3,Laboratory Technician,1,Divorced," 2,576","? 2,576",Upto 5k,3,No,16,3,8,5,3,5,2,1,2
RM410,42,36-45,No,Travel_Frequently,Research & Development,2,Life Sciences,1,Female,3,Research Scientist,3,Divorced," 4,556","? 4,556",Upto 5k,2,No,11,3,19,3,3,5,4,0,2
RM414,42,36-45,No,Travel_Frequently,Research & Development,4,Technical Degree,4,Female,2,Healthcare Representative,4,Married," 4,523","? 4,523",Upto 5k,0,No,11,3,7,4,4,6,5,0,4
RM442,42,36-45,No,Travel_Frequently,Research & Development,2,Other,2,Male,3,Laboratory Technician,3,Married," 2,093","? 2,093",Upto 5k,4,No,17,3,8,4,3,2,2,2,0
RM452,42,36-45,No,Travel_Rarely,Research & Development,3,Medical,4,Male,3,Manufacturing Director,1,Married," 7,406","? 7,406",5k-10k,1,Yes,21,4,10,5,2,10,9,5,8
RM489,42,36-45,No,Travel_Rarely,Research & Development,4,Life Sciences,3,Female,3,Healthcare Representative,4,Married," 4,089","? 4,089",Upto 5k,1,No,13,3,10,4,3,10,2,2,2
RM585,42,36-45,No,Travel_Frequently,Research & Development,3,Life Sciences,2,Male,3,Manager,4,Divorced," 18,430","? 18,430",15k+,1,No,13,3,24,4,2,24,7,14,9
RM598,42,36-45,No,Travel_Rarely,Research & Development,2,Life Sciences,4,Female,2,Manufacturing Director,4,Married," 6,062","? 6,062",5k-10k,9,Yes,13,3,8,4,3,4,3,0,2
RM605,42,36-45,No,Travel_Rarely,Research & Development,3,Life Sciences,2,Male,3,Manufacturing Director,2,Married," 4,434","? 4,434",Upto 5k,1,No,13,3,10,3,2,9,8,7,8
RM633,42,36-45,No,Travel_Frequently,Research & Development,1,Medical,2,Male,3,Research Scientist,4,Single," 2,515","? 2,515",Upto 5k,5,Yes,14,3,8,2,3,2,1,2,2
RM644,42,36-45,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Female,4,Laboratory Technician,4,Married," 5,231","? 5,231",5k-10k,2,Yes,13,3,17,1,2,5,3,1,3
RM673,42,36-45,No,Travel_Rarely,Sales,2,Medical,3,Female,2,Sales Executive,3,Single," 6,244","? 6,244",5k-10k,7,No,17,3,10,6,3,5,4,0,3
RM742,42,36-45,No,Travel_Rarely,Sales,2,Marketing,4,Male,3,Manager,3,Married," 18,303","? 18,303",15k+,6,No,13,3,21,3,4,1,0,0,0
RM800,42,36-45,No,Travel_Rarely,Research & Development,2,Medical,4,Male,3,Manager,1,Married," 17,665","? 17,665",15k+,0,No,17,3,23,3,3,22,6,13,7
RM825,42,36-45,No,Travel_Rarely,Research & Development,3,Medical,2,Male,1,Laboratory Technician,4,Single," 4,272","? 4,272",Upto 5k,4,No,19,3,16,3,3,1,0,0,0
RM840,42,36-45,No,Travel_Rarely,Sales,4,Marketing,2,Male,3,Sales Executive,1,Single," 5,155","? 5,155",5k-10k,7,No,13,3,9,3,4,6,4,1,5
RM879,42,36-45,No,Non-Travel,Human Resources,5,Medical,4,Male,4,Human Resources,1,Married," 6,272","? 6,272",5k-10k,7,No,16,3,10,3,4,4,3,0,3
RM888,42,36-45,No,Travel_Frequently,Research & Development,5,Medical,1,Female,3,Research Director,1,Married," 13,191","? 13,191",10k-15k,3,Yes,17,3,20,6,3,1,0,0,0
RM926,42,36-45,No,Travel_Rarely,Research & Development,4,Medical,2,Female,4,Research Scientist,2,Married," 2,372","? 2,372",Upto 5k,6,Yes,16,3,18,2,3,1,0,0,0
RM955,42,36-45,No,Non-Travel,Research & Development,1,Life Sciences,3,Male,3,Manager,3,Married," 17,861","? 17,861",15k+,0,Yes,13,3,21,3,2,20,8,2,10
RM548,42,36-45,Yes,Travel_Frequently,Research & Development,3,Medical,3,Male,4,Research Scientist,3,Divorced," 2,759","? 2,759",Upto 5k,6,Yes,12,3,7,2,3,2,2,2,2
RM839,42,36-45,Yes,Travel_Frequently,Sales,3,Life Sciences,3,Male,3,Sales Executive,1,Single," 13,758","? 13,758",10k-15k,0,Yes,12,3,22,2,2,21,9,13,14
RM1029,41,36-45,No,Travel_Rarely,Research & Development,5,Medical,2,Male,4,Research Scientist,3,Married," 2,127","? 2,127",Upto 5k,2,Yes,12,3,7,5,2,4,2,0,3
RM1197,41,36-45,No,Travel_Rarely,Sales,2,Life Sciences,4,Male,3,Sales Executive,3,Single," 7,082","? 7,082",5k-10k,3,Yes,16,3,21,2,3,2,0,0,2
RM1219,41,36-45,No,Travel_Rarely,Sales,3,Marketing,4,Male,3,Sales Executive,3,Single," 9,241","? 9,241",5k-10k,1,No,12,3,10,3,3,10,8,8,7
RM1229,41,36-45,No,Non-Travel,Human Resources,3,Human Resources,3,Male,1,Human Resources,2,Married," 6,430","? 6,430",5k-10k,6,No,19,3,10,4,3,3,2,1,2
RM1267,41,36-45,No,Travel_Rarely,Research & Development,4,Life Sciences,3,Male,3,Laboratory Technician,1,Divorced," 2,289","? 2,289",Upto 5k,1,No,20,4,5,2,3,5,3,0,4
RM1295,41,36-45,No,Travel_Rarely,Research & Development,3,Life Sciences,2,Male,4,Healthcare Representative,2,Single," 6,870","? 6,870",5k-10k,3,No,12,3,11,3,1,3,2,1,2
RM1296,41,36-45,No,Travel_Rarely,Sales,1,Marketing,3,Female,3,Sales Executive,3,Divorced," 10,447","? 10,447",10k-15k,0,Yes,13,3,23,3,4,22,14,13,5
RM134,41,36-45,No,Travel_Rarely,Sales,1,Life Sciences,3,Male,3,Sales Executive,3,Divorced," 8,189","? 8,189",5k-10k,3,Yes,13,3,12,2,3,9,7,0,7
RM1357,41,36-45,No,Travel_Rarely,Sales,3,Marketing,3,Female,3,Sales Executive,2,Married," 4,393","? 4,393",Upto 5k,5,No,21,4,14,3,3,5,4,1,4
RM1421,41,36-45,No,Travel_Rarely,Research & Development,3,Life Sciences,4,Male,3,Research Scientist,4,Married," 2,782","? 2,782",Upto 5k,3,No,22,4,12,3,3,5,3,1,0
RM1446,41,36-45,No,Travel_Rarely,Research & Development,4,Life Sciences,1,Female,2,Manufacturing Director,2,Married," 13,570","? 13,570",10k-15k,0,No,23,4,21,3,3,20,7,0,10
RM1449,41,36-45,No,Travel_Rarely,Sales,3,Life Sciences,3,Male,2,Sales Executive,2,Divorced," 8,938","? 8,938",5k-10k,2,No,11,3,14,5,3,5,4,0,4
RM148,41,36-45,No,Travel_Frequently,Research & Development,3,Life Sciences,4,Male,2,Manager,1,Divorced," 17,181","? 17,181",15k+,4,No,13,3,21,2,2,7,6,7,7
RM149,41,36-45,No,Travel_Rarely,Research & Development,4,Life Sciences,3,Male,3,Laboratory Technician,1,Married," 2,238","? 2,238",Upto 5k,2,No,21,4,7,2,3,5,0,1,4
RM167,41,36-45,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,3,Research Scientist,3,Divorced," 2,451","? 2,451",Upto 5k,4,No,12,3,13,2,3,9,8,1,8
RM216,41,36-45,No,Travel_Rarely,Sales,3,Life Sciences,4,Female,3,Manager,4,Single," 13,591","? 13,591",10k-15k,3,Yes,18,3,16,3,3,1,0,0,0
RM243,41,36-45,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,3,Research Scientist,1,Divorced," 3,072","? 3,072",Upto 5k,2,No,16,3,17,2,2,1,0,0,0
RM301,41,36-45,No,Travel_Rarely,Sales,4,Life Sciences,4,Male,3,Manager,2,Single," 16,015","? 16,015",15k+,1,No,19,3,22,2,3,22,10,0,4
RM347,41,36-45,No,Travel_Rarely,Research & Development,3,Medical,4,Male,2,Manufacturing Director,2,Single," 6,032","? 6,032",5k-10k,6,Yes,15,3,8,3,3,5,4,1,2
RM404,41,36-45,No,Travel_Rarely,Sales,3,Marketing,2,Male,4,Sales Executive,1,Married," 8,392","? 8,392",5k-10k,1,No,16,3,10,2,3,10,7,0,
RM447,41,36-45,No,Non-Travel,Sales,2,Life Sciences,4,Male,3,Sales Executive,4,Single," 6,230","? 6,230",5k-10k,7,No,14,3,16,3,3,14,3,1,10
RM460,41,36-45,No,Non-Travel,Research & Development,4,Other,1,Female,2,Healthcare Representative,3,Single," 6,811","? 6,811",5k-10k,2,Yes,17,3,10,3,3,8,7,0,7
RM467,41,36-45,No,Travel_Rarely,Sales,5,Life Sciences,2,Female,3,Manager,1,Married," 16,595","? 16,595",15k+,7,No,16,3,22,2,3,18,16,11,8
RM536,41,36-45,No,Travel_Rarely,Human Resources,4,Human Resources,2,Male,2,Manager,4,Divorced," 19,141","? 19,141",15k+,3,No,15,3,23,2,2,21,6,12,6
RM539,41,36-45,No,Travel_Rarely,Human Resources,3,Human Resources,4,Male,2,Manager,3,Married," 19,189","? 19,189",15k+,1,No,12,3,22,3,3,22,7,2,10
RM687,41,36-45,No,Travel_Rarely,Research & Development,3,Medical,4,Male,3,Laboratory Technician,1,Single," 4,721","? 4,721",Upto 5k,2,Yes,13,3,20,3,3,18,13,2,17
RM717,41,36-45,No,Travel_Frequently,Research & Development,3,Medical,1,Male,3,Research Director,3,Divorced," 19,419","? 19,419",15k+,2,No,17,3,21,2,4,18,16,0,11
RM738,41,36-45,No,Travel_Rarely,Research & Development,2,Medical,4,Female,3,Manufacturing Director,3,Single," 5,003","? 5,003",5k-10k,6,No,14,3,8,6,3,2,2,2,1
RM747,41,36-45,No,Non-Travel,Research & Development,1,Life Sciences,2,Female,1,Research Director,3,Divorced," 19,973","? 19,973",15k+,1,No,22,4,21,3,3,21,16,5,10
RM784,41,36-45,No,Travel_Rarely,Research & Development,2,Technical Degree,2,Female,4,Research Scientist,3,Married," 3,376","? 3,376",Upto 5k,1,No,13,3,10,3,3,10,6,0,8
RM831,41,36-45,No,Travel_Rarely,Research & Development,4,Life Sciences,2,Male,3,Laboratory Technician,4,Married," 4,766","? 4,766",Upto 5k,3,Yes,11,3,6,4,3,1,0,0,0
RM952,41,36-45,No,Non-Travel,Sales,2,Medical,3,Male,1,Sales Executive,2,Single," 6,151","? 6,151",5k-10k,1,No,13,3,19,4,3,19,2,11,9
RM961,41,36-45,No,Travel_Frequently,Sales,3,Marketing,3,Female,3,Sales Executive,1,Divorced," 4,103","? 4,103",Upto 5k,0,No,17,3,10,2,3,9,3,1,7
RM989,41,36-45,No,Travel_Frequently,Research & Development,3,Life Sciences,4,Female,3,Research Scientist,4,Divorced," 5,467","? 5,467",5k-10k,3,Yes,14,3,12,4,2,6,2,3,3
RM001,41,36-45,Yes,Travel_Rarely,Sales,2,Life Sciences,2,Female,3,Sales Executive,4,Single," 5,993","? 5,993",5k-10k,8,Yes,11,3,8,0,1,6,4,0,5
RM046,41,36-45,Yes,Travel_Rarely,Research & Development,3,Technical Degree,2,Female,3,Research Director,3,Married," 19,545","? 19,545",15k+,1,No,12,3,23,0,3,22,15,15,8
RM183,41,36-45,Yes,Travel_Rarely,Sales,2,Marketing,2,Female,3,Sales Representative,2,Single," 3,140","? 3,140",Upto 5k,1,Yes,22,4,4,5,2,4,3,0,2
RM367,41,36-45,Yes,Travel_Frequently,Sales,3,Marketing,1,Male,3,Sales Executive,2,Single," 9,355","? 9,355",5k-10k,1,No,18,3,8,5,3,8,7,7,7
RM668,41,36-45,Yes,Travel_Rarely,Research & Development,4,Life Sciences,2,Female,1,Laboratory Technician,4,Divorced," 2,778","? 2,778",Upto 5k,4,Yes,13,3,10,1,2,7,7,1,0
RM865,41,36-45,Yes,Non-Travel,Research & Development,2,Life Sciences,1,Male,2,Research Scientist,1,Divorced," 2,107","? 2,107",Upto 5k,6,No,17,3,5,2,1,1,0,0,0
RM091,40,36-45,No,Travel_Frequently,Research & Development,4,Life Sciences,3,Male,2,Healthcare Representative,2,Married," 13,503","? 13,503",10k-15k,1,No,22,4,22,3,2,22,3,11,11
RM1030,40,36-45,No,Non-Travel,Research & Development,4,Other,3,Male,3,Laboratory Technician,3,Divorced," 3,975","? 3,975",Upto 5k,3,No,11,3,11,2,4,8,7,0,7
RM1041,40,36-45,No,Non-Travel,Research & Development,1,Medical,4,Male,2,Research Director,2,Divorced," 13,757","? 13,757",10k-15k,2,No,11,3,16,5,3,9,8,4,8
